iter	RMSE
0	21826.10455
1	20796.16737
2	19900.46845
3	19072.36932
4	18401.2835
5	17751.09044
6	17206.07079
7	16745.49326
8	16287.75087
9	15936.97576
10	15561.91239
11	15273.58089
12	14990.44128
13	14737.45986
14	14501.45226
15	14293.83526
16	14048.56315
17	13862.95174
18	13691.45994
19	13536.25145
20	13421.0232
21	13298.80197
22	13177.07903
23	13061.57594
24	12960.71932
25	12854.49248
26	12736.23122
27	12620.51751
28	12524.88116
29	12437.60388
30	12358.28527
31	12277.85208
32	12209.48655
33	12148.00539
34	12060.05703
35	12007.71691
36	11940.9797
37	11899.6894
38	11847.7994
39	11795.13912
40	11745.43186
41	11688.2581
42	11630.9903
43	11586.74965
44	11545.14284
45	11517.19113
46	11452.47167
47	11398.03679
48	11337.47172
49	11285.42654
50	11247.1966
51	11209.9169
52	11170.23924
53	11133.83371
54	11091.43004
55	11041.63196
56	10993.60187
57	10954.20125
58	10927.46425
59	10903.18963
60	10876.53974
61	10847.06479
62	10803.5632
63	10784.08525
64	10737.04705
65	10706.10135
66	10687.13591
67	10663.46391
68	10633.37115
69	10604.35616
70	10579.89726
71	10538.57086
72	10500.45562
73	10479.69448
74	10454.57033
75	10427.38018
76	10401.13494
77	10375.32942
78	10361.87659
79	10326.55835
80	10309.505
81	10286.97784
82	10264.85249
83	10244.30785
84	10221.67582
85	10190.9214
86	10168.11227
87	10156.2892
88	10132.92897
89	10112.62193
90	10097.31525
91	10074.1533
92	10055.73716
93	10043.55741
94	10022.41802
95	10005.63121
96	9989.146739
97	9964.89669
98	9949.496347
99	9934.107884
100	9921.315125
101	9906.357319
102	9887.457953
103	9872.012952
104	9857.194134
105	9837.552559
106	9818.712937
107	9802.188503
108	9789.140001
109	9770.900288
110	9755.543636
111	9744.91657
112	9735.932372
113	9718.922984
114	9700.555698
115	9693.531586
116	9670.913014
117	9656.782471
118	9645.761325
119	9630.22593
120	9615.220428
121	9604.253253
122	9590.131734
123	9578.449204
124	9569.235328
125	9561.866352
126	9548.54122
127	9532.82779
128	9518.151791
129	9512.085021
130	9505.081964
131	9489.645018
132	9479.945319
133	9463.047922
134	9449.788833
135	9442.353559
136	9432.186571
137	9413.623551
138	9400.285624
139	9387.874786
140	9379.71524
141	9373.899275
142	9364.628508
143	9352.654904
144	9339.433627
145	9332.48324
146	9323.578961
147	9314.753707
148	9304.844339
149	9296.344701
150	9285.650901
151	9274.942061
152	9267.788324
153	9256.889716
154	9247.286522
155	9237.706515
156	9227.754785
157	9218.643781
158	9214.062812
159	9206.142078
160	9201.548704
161	9193.062034
162	9181.855867
163	9172.708586
164	9165.367005
165	9159.328543
166	9145.331877
167	9136.929605
168	9128.888049
169	9121.286909
170	9112.603267
171	9102.240639
172	9094.320315
173	9087.601324
174	9079.868322
175	9071.542723
176	9064.213861
177	9055.089902
178	9047.851908
179	9040.112323
180	9031.154125
181	9023.191149
182	9016.466604
183	9009.96105
184	9000.57685
185	8993.273257
186	8983.612885
187	8977.5722
188	8969.822032
189	8960.219024
190	8952.8645
191	8945.241896
192	8938.336315
193	8931.966929
194	8923.145238
195	8917.735053
196	8905.557557
197	8898.529815
198	8889.811173
199	8883.293681
200	8877.264729
201	8869.895619
202	8865.055231
203	8858.775375
204	8851.284714
205	8847.105877
206	8840.380251
207	8833.768844
208	8826.13876
209	8820.140596
210	8815.41618
211	8806.705531
212	8800.919951
213	8795.82909
214	8788.119091
215	8782.766022
216	8777.810824
217	8773.585444
218	8769.675974
219	8764.664803
220	8759.476847
221	8754.815758
222	8746.79589
223	8739.566171
224	8732.749267
225	8726.68076
226	8721.908565
227	8718.829878
228	8711.567643
229	8707.200192
230	8700.997174
231	8695.501569
232	8690.953359
233	8686.012932
234	8682.486182
235	8676.778597
236	8672.693014
237	8668.242021
238	8663.143643
239	8659.05563
240	8653.803877
241	8651.05955
242	8647.515151
243	8642.886483
244	8634.966067
245	8630.994053
246	8627.256306
247	8622.859777
248	8620.346436
249	8614.99132
250	8611.028927
251	8606.684898
252	8602.746646
253	8598.776548
254	8594.732629
255	8591.385462
256	8587.236644
257	8583.103425
258	8576.015375
259	8571.634562
260	8567.859776
261	8564.058147
262	8559.057065
263	8553.113032
264	8546.654057
265	8540.780181
266	8536.613277
267	8532.267915
268	8527.6828
269	8521.866827
270	8517.106928
271	8512.728988
272	8507.5197
273	8502.265764
274	8495.226969
275	8488.527886
276	8483.350706
277	8477.08202
278	8472.697854
279	8465.085358
280	8461.640147
281	8457.592198
282	8452.915662
283	8449.556043
284	8445.291959
285	8441.866694
286	8438.613863
287	8435.431619
288	8431.754729
289	8428.658451
290	8422.896549
291	8418.005629
292	8415.616803
293	8410.128828
294	8407.086965
295	8403.951441
296	8398.878792
297	8396.218402
298	8391.316374
299	8388.307271
300	8385.681076
301	8380.597216
302	8377.026624
303	8371.993249
304	8369.371281
305	8365.981652
306	8363.53954
307	8360.418024
308	8358.024345
309	8354.269774
310	8350.61914
311	8346.469922
312	8342.806359
313	8339.673779
314	8335.966847
315	8332.842401
316	8328.251093
317	8325.744003
318	8323.060573
319	8320.164303
320	8318.234075
321	8315.330515
322	8313.221973
323	8309.297017
324	8306.351165
325	8302.013332
326	8297.502718
327	8293.749739
328	8288.61195
329	8285.07359
330	8280.023062
331	8278.050702
332	8273.920952
333	8270.700873
334	8268.65968
335	8262.536008
336	8259.531945
337	8256.607187
338	8253.537938
339	8248.379099
340	8246.39246
341	8241.580548
342	8237.892456
343	8234.817682
344	8231.275331
345	8227.709881
346	8224.154913
347	8221.782286
348	8219.70675
349	8217.069393
350	8213.713716
351	8211.320748
352	8208.803194
353	8205.231063
354	8203.450916
355	8200.413743
356	8197.251021
357	8195.548309
358	8193.055147
359	8189.656057
360	8185.990914
361	8184.279428
362	8180.698505
363	8179.030255
364	8175.501584
365	8173.71015
366	8171.556714
367	8169.270736
368	8166.964147
369	8164.876947
370	8161.799508
371	8159.17373
372	8156.93675
373	8153.856429
374	8151.839968
375	8149.193193
376	8145.960072
377	8143.897461
378	8140.724321
379	8138.444241
380	8135.995203
381	8133.793636
382	8131.647127
383	8129.575367
384	8127.515253
385	8125.558965
386	8122.510597
387	8120.51516
388	8118.130773
389	8116.407435
390	8114.504721
391	8111.25261
392	8104.811725
393	8101.874131
394	8099.968096
395	8097.512104
396	8095.195176
397	8092.176517
398	8089.602277
